loglik_mean,num_edge,n_p,n,p,model
14.470664185117943,384,100_50,100,50,DC
14.495899365217907,396,100_50,100,50,DC
14.510333371924387,409,100_50,100,50,DC
14.491058300863553,421,100_50,100,50,DC
14.459962815027717,433,100_50,100,50,DC
14.427157405879012,446,100_50,100,50,DC
14.421273757335527,458,100_50,100,50,DC
14.42608754814768,470,100_50,100,50,DC
14.428907260601983,483,100_50,100,50,DC
14.442707133471213,495,100_50,100,50,DC
14.43163832471257,507,100_50,100,50,DC
14.42251283475783,520,100_50,100,50,DC
14.447780529137361,532,100_50,100,50,DC
14.444868961823632,545,100_50,100,50,DC
14.445110769191736,557,100_50,100,50,DC
14.434232346605063,569,100_50,100,50,DC
14.420900343773605,582,100_50,100,50,DC
14.431294538766577,594,100_50,100,50,DC
14.402352883783037,606,100_50,100,50,DC
14.380768736531808,619,100_50,100,50,DC
14.385955942037295,631,100_50,100,50,DC
14.39719112778781,643,100_50,100,50,DC
14.382495976733132,656,100_50,100,50,DC
14.394996063383864,668,100_50,100,50,DC
14.395204379966009,681,100_50,100,50,DC
14.386469910079278,693,100_50,100,50,DC
14.380710776741644,705,100_50,100,50,DC
14.388094603292895,718,100_50,100,50,DC
14.388508772979574,730,100_50,100,50,DC
14.382342806485699,742,100_50,100,50,DC
14.371193410876014,755,100_50,100,50,DC
14.352723260909196,767,100_50,100,50,DC
14.343979027815259,779,100_50,100,50,DC
14.347382001824997,792,100_50,100,50,DC
14.337629274071945,804,100_50,100,50,DC
14.337209306001203,817,100_50,100,50,DC
14.31889779725441,828.8,100_50,100,50,DC
14.310213438277291,840.8,100_50,100,50,DC
14.292932258365164,853.8,100_50,100,50,DC
14.29637417194218,865.8,100_50,100,50,DC
14.303538601665235,877.8,100_50,100,50,DC
14.310477316536435,890.8,100_50,100,50,DC
14.311243342455771,902.6,100_50,100,50,DC
14.301668353461762,914.2,100_50,100,50,DC
14.286586369785244,926.8,100_50,100,50,DC
14.291326837271525,938.2,100_50,100,50,DC
14.297377541397688,950.8,100_50,100,50,DC
14.303029881206662,962.6,100_50,100,50,DC
14.297845514700096,974.4,100_50,100,50,DC
14.280782693059459,986.8,100_50,100,50,DC
14.273882403505667,998.8,100_50,100,50,DC
14.272715795307922,1009.8,100_50,100,50,DC
14.278858181091566,1022.4,100_50,100,50,DC
14.277840846057426,1033.2,100_50,100,50,DC
14.279917031713731,1044.8,100_50,100,50,DC
14.275650370748178,1056.4,100_50,100,50,DC
14.275605137659245,1067.4,100_50,100,50,DC
14.279936579687673,1078,100_50,100,50,DC
14.283376008878225,1088.2,100_50,100,50,DC
14.281418817938228,1098,100_50,100,50,DC
14.279601627671914,1107.6,100_50,100,50,DC
14.281879382508388,1117,100_50,100,50,DC
14.27956553925846,1125.8,100_50,100,50,DC
14.278713121249663,1136.2,100_50,100,50,DC
14.27511053258639,1142,100_50,100,50,DC
14.280265521083898,1151,100_50,100,50,DC
14.278971719670015,1158.8,100_50,100,50,DC
14.278561702023062,1164.4,100_50,100,50,DC
14.279687780874708,1171.2,100_50,100,50,DC
35.48673290117072,1,50_100,50,100,DC
35.50497228777358,50,50_100,50,100,DC
35.452695734846216,100,50_100,50,100,DC
35.44518070220009,150,50_100,50,100,DC
35.40182115190855,200,50_100,50,100,DC
35.30027582128779,250,50_100,50,100,DC
35.294364110321744,300,50_100,50,100,DC
35.28239119237268,350,50_100,50,100,DC
35.27773955297019,400,50_100,50,100,DC
35.25668591416034,450,50_100,50,100,DC
35.227603070103406,500,50_100,50,100,DC
35.20969565169536,550,50_100,50,100,DC
35.23750701335695,600,50_100,50,100,DC
35.22832604292399,650,50_100,50,100,DC
35.24094738186035,700,50_100,50,100,DC
35.2588422774636,750,50_100,50,100,DC
35.248335658169616,800,50_100,50,100,DC
35.248939617236104,850,50_100,50,100,DC
35.26556585647687,900,50_100,50,100,DC
35.27175354065067,950,50_100,50,100,DC
35.275385115282894,1000,50_100,50,100,DC
35.27812496680407,1050,50_100,50,100,DC
35.28365482139422,1100,50_100,50,100,DC
35.287389776442254,1150,50_100,50,100,DC
35.26769428918732,1200,50_100,50,100,DC
35.280603101629595,1250,50_100,50,100,DC
35.2956491113259,1300,50_100,50,100,DC
35.293862682402214,1350,50_100,50,100,DC
35.29023626209222,1400,50_100,50,100,DC
35.278713256814115,1450,50_100,50,100,DC
35.28880391667811,1500,50_100,50,100,DC
35.29943332932673,1550,50_100,50,100,DC
35.302376214222456,1600,50_100,50,100,DC
35.30505678733294,1650,50_100,50,100,DC
35.2995522093417,1700,50_100,50,100,DC
35.29950934331409,1750,50_100,50,100,DC
35.296734487722716,1800,50_100,50,100,DC
35.294119779798294,1850,50_100,50,100,DC
35.28152526475688,1900,50_100,50,100,DC
35.29989381167052,1950,50_100,50,100,DC
35.29096087672914,2000,50_100,50,100,DC
35.30270949678554,2050,50_100,50,100,DC
35.301730610590234,2100,50_100,50,100,DC
35.29764606702349,2150,50_100,50,100,DC
35.290621568832144,2200,50_100,50,100,DC
35.30722591530663,2250,50_100,50,100,DC
35.30032536330427,2300,50_100,50,100,DC
35.298267725347735,2350,50_100,50,100,DC
35.2941513100592,2400,50_100,50,100,DC
35.299476194282256,2450,50_100,50,100,DC
35.289060373422764,2500,50_100,50,100,DC
35.295571176892125,2550,50_100,50,100,DC
35.29172700142719,2600,50_100,50,100,DC
35.29737040028383,2650,50_100,50,100,DC
35.29222335646725,2700,50_100,50,100,DC
35.28598709722307,2750,50_100,50,100,DC
35.28833306463916,2800,50_100,50,100,DC
35.284448063583014,2850,50_100,50,100,DC
35.29024959607999,2900,50_100,50,100,DC
35.282886944766815,2950,50_100,50,100,DC
35.282286510897336,3000,50_100,50,100,DC
35.275073557751284,3050,50_100,50,100,DC
35.27546183740902,3100,50_100,50,100,DC
35.26878072552893,3150,50_100,50,100,DC
35.26954430438575,3200,50_100,50,100,DC
35.27226815030274,3250,50_100,50,100,DC
35.27781795112781,3300,50_100,50,100,DC
35.27990120842661,3350,50_100,50,100,DC
35.28584216287764,3400,50_100,50,100,DC
35.29320048636345,3450,50_100,50,100,DC
35.2952343936422,3500,50_100,50,100,DC
35.29439351052839,3550,50_100,50,100,DC
35.295325868903454,3600,50_100,50,100,DC
35.30482499359322,3650,50_100,50,100,DC
35.30099476702025,3700,50_100,50,100,DC
35.30859502195152,3750,50_100,50,100,DC
35.310575066458796,3800,50_100,50,100,DC
35.31436760276069,3850,50_100,50,100,DC
35.3154959119241,3900,50_100,50,100,DC
35.316983841458985,3950,50_100,50,100,DC
35.32133175394862,4000,50_100,50,100,DC
35.32084310093695,4050,50_100,50,100,DC
35.32585180588844,4100,50_100,50,100,DC
35.32388750262928,4150,50_100,50,100,DC
35.32454555589517,4200,50_100,50,100,DC
35.32340609459487,4250,50_100,50,100,DC
35.3226318221699,4300,50_100,50,100,DC
35.32128534694462,4350,50_100,50,100,DC
35.322028682474446,4399.8,50_100,50,100,DC
35.3241635931901,4450,50_100,50,100,DC
35.32412116249623,4499.8,50_100,50,100,DC
35.32501437815483,4549.4,50_100,50,100,DC
35.324160481258964,4598.6,50_100,50,100,DC
35.32347083093283,4647.2,50_100,50,100,DC
35.32363064920486,4694.8,50_100,50,100,DC
35.32402132044662,4739.8,50_100,50,100,DC
35.32446635690762,4784.4,50_100,50,100,DC
35.32408845816191,4828.4,50_100,50,100,DC
35.32344786599,4867.6,50_100,50,100,DC
35.323561362555736,4899.4,50_100,50,100,DC
35.40156821649625,1,100_100,100,100,DC
35.58380233602349,50,100_100,100,100,DC
35.53867779617882,100,100_100,100,100,DC
35.52701350370839,150,100_100,100,100,DC
35.505791126038915,200,100_100,100,100,DC
35.51442297495388,250,100_100,100,100,DC
35.49197225151385,300,100_100,100,100,DC
35.49912967881235,350,100_100,100,100,DC
35.48370290748467,400,100_100,100,100,DC
35.450462524247556,450,100_100,100,100,DC
35.3892102295681,500,100_100,100,100,DC
35.35240216552198,550,100_100,100,100,DC
35.30735771223126,600,100_100,100,100,DC
35.27009361651765,650,100_100,100,100,DC
35.27581662936637,700,100_100,100,100,DC
35.24752554757017,750,100_100,100,100,DC
35.20166154048199,800,100_100,100,100,DC
35.194134933498276,850,100_100,100,100,DC
35.19729572298685,900,100_100,100,100,DC
35.191046525992846,950,100_100,100,100,DC
35.17253499961355,1000,100_100,100,100,DC
35.18366302207015,1050,100_100,100,100,DC
35.17944313368404,1100,100_100,100,100,DC
35.17147719552899,1150,100_100,100,100,DC
35.182498353888825,1200,100_100,100,100,DC
35.17872969164688,1250,100_100,100,100,DC
35.19209112888797,1300,100_100,100,100,DC
35.22541845859459,1350,100_100,100,100,DC
35.234217469462806,1400,100_100,100,100,DC
35.22547715756738,1450,100_100,100,100,DC
35.24529671916132,1500,100_100,100,100,DC
35.24923365389601,1550,100_100,100,100,DC
35.233186399357386,1600,100_100,100,100,DC
35.20666227373978,1650,100_100,100,100,DC
35.19898908181908,1700,100_100,100,100,DC
35.189170666574284,1750,100_100,100,100,DC
35.171899937004255,1800,100_100,100,100,DC
35.161304281757616,1850,100_100,100,100,DC
35.151110154504494,1900,100_100,100,100,DC
35.15300682700003,1950,100_100,100,100,DC
35.159128413217346,2000,100_100,100,100,DC
35.14880341694603,2050,100_100,100,100,DC
35.147715191105554,2100,100_100,100,100,DC
35.165446065029165,2150,100_100,100,100,DC
35.16506787717508,2200,100_100,100,100,DC
35.15009484739718,2250,100_100,100,100,DC
35.138842979532434,2300,100_100,100,100,DC
35.138145016278884,2350,100_100,100,100,DC
35.14512617234389,2400,100_100,100,100,DC
35.16077536121161,2450,100_100,100,100,DC
35.16879381225725,2500,100_100,100,100,DC
35.1666968614995,2550,100_100,100,100,DC
35.177509551264855,2600,100_100,100,100,DC
35.179698031210265,2650,100_100,100,100,DC
35.17304295752711,2700,100_100,100,100,DC
35.17681569911981,2750,100_100,100,100,DC
35.157616025821774,2800,100_100,100,100,DC
35.16610954410779,2850,100_100,100,100,DC
35.15743027598094,2900,100_100,100,100,DC
35.15504235983306,2950,100_100,100,100,DC
35.14431093139845,3000,100_100,100,100,DC
35.13305726707707,3050,100_100,100,100,DC
35.12535609358149,3100,100_100,100,100,DC
35.13150106649306,3150,100_100,100,100,DC
35.13615860599246,3200,100_100,100,100,DC
35.13517464769306,3250,100_100,100,100,DC
35.13270627922089,3300,100_100,100,100,DC
35.12025958615351,3350,100_100,100,100,DC
35.117466632615226,3400,100_100,100,100,DC
35.11132742432981,3450,100_100,100,100,DC
35.11507542146398,3500,100_100,100,100,DC
35.11750700416095,3550,100_100,100,100,DC
35.119684148345115,3600,100_100,100,100,DC
35.1208649951619,3650,100_100,100,100,DC
35.122490432137205,3700,100_100,100,100,DC
35.12252709339797,3750,100_100,100,100,DC
35.11995523797586,3800,100_100,100,100,DC
35.119327962789924,3849.8,100_100,100,100,DC
35.11370707787306,3899.8,100_100,100,100,DC
35.11483804809874,3949.8,100_100,100,100,DC
35.11688868553023,3999.8,100_100,100,100,DC
35.116004743337285,4049.8,100_100,100,100,DC
35.11841933071455,4099.8,100_100,100,100,DC
35.11685766974567,4149.6,100_100,100,100,DC
35.112549350353135,4198.6,100_100,100,100,DC
35.11123224915654,4248.6,100_100,100,100,DC
35.11042488591157,4298.2,100_100,100,100,DC
35.10848303660872,4346.8,100_100,100,100,DC
