p,n,DC,glasso,SCAD,adapt,n_p
71,100,0.011999999987892807,0.003000000026077032,0.001999999978579581,0.0010000000474974513,100_71
71,100,0.011999999987892807,0.003000000026077032,0.001999999978579581,9.999999310821295e-4,100_71
71,100,0.010999999940395355,0.003000000026077032,0.001999999978579581,0.0010000000474974513,100_71
71,100,0.010999999940395355,0.003000000026077032,0.001999999978579581,0.0010000000474974513,100_71
71,100,0.011999999987892807,0.003000000026077032,0.001999999978579581,0.0010000000474974513,100_71
71,100,0.011999999987892807,0.003000000026077032,0.001999999978579581,0.0010000000474974513,100_71
71,100,0.012000000104308128,0.0029999999096617103,0.003000000026077032,0.0010000000474974513,100_71
71,100,0.011999999987892807,0.001999999978579581,0.001999999978579581,0,100_71
71,100,0.02000000001862645,0.001999999978579581,0.003000000026077032,9.999999310821295e-4,100_71
71,100,0.011999999987892807,0.001999999978579581,0.003000000026077032,9.999999310821295e-4,100_71
100,100,0.027000000001862645,0.006999999983236194,0.006000000052154064,0.001999999978579581,100_100
100,100,0.026000000070780516,0.006999999983236194,0.005000000004656613,0.001999999978579581,100_100
100,100,0.03299999993760139,0.008000000030733645,0.005000000004656613,0.001999999978579581,100_100
100,100,0.025999999954365194,0.008000000030733645,0.005000000004656613,0.001999999978579581,100_100
100,100,0.027000000001862645,0.006999999983236194,0.005999999935738742,0.0020000000949949026,100_100
100,100,0.027000000001862645,0.006999999983236194,0.011000000056810677,0.001999999978579581,100_100
100,100,0.025999999954365194,0.006999999983236194,0.005000000004656613,0.001999999978579581,100_100
100,100,0.026000000070780516,0.006999999983236194,0.005000000004656613,0.001999999978579581,100_100
100,100,0.025999999954365194,0.006999999983236194,0.006000000052154064,0.001999999978579581,100_100
100,100,0.027000000001862645,0.006999999983236194,0.005000000004656613,0.001999999978579581,100_100
142,100,0.06500000006053597,0.015000000013969839,0.012999999918974936,0.005000000004656613,100_142
142,100,0.0659999999916181,0.015000000013969839,0.011999999987892807,0.005000000004656613,100_142
142,100,0.0590000000083819,0.015000000013969839,0.011999999987892807,0.004000000073574483,100_142
142,100,0.06700000003911555,0.02099999994970858,0.013000000035390258,0.005000000004656613,100_142
142,100,0.06499999994412065,0.015000000013969839,0.011999999987892807,0.005000000004656613,100_142
142,100,0.06499999994412065,0.01600000006146729,0.01799999992363155,0.005000000004656613,100_142
142,100,0.06700000003911555,0.02000000001862645,0.013999999966472387,0.005000000004656613,100_142
142,100,0.0659999999916181,0.015000000013969839,0.013000000035390258,0.005000000004656613,100_142
142,100,0.05299999995622784,0.015000000013969839,0.01600000006146729,0.004999999888241291,100_142
142,100,0.05400000000372529,0.015000000013969839,0.011999999987892807,0.005000000004656613,100_142
200,100,0.1840000000083819,0.05999999993946403,0.045999999972991645,0.01699999999254942,100_200
200,100,0.1909999999916181,0.06400000001303852,0.04099999996833503,0.013000000035390258,100_200
200,100,0.13799999991897494,0.041000000084750354,0.03499999991618097,0.011999999987892807,100_200
200,100,0.18999999994412065,0.060999999986961484,0.0400000000372529,0.013000000035390258,100_200
200,100,0.19200000003911555,0.04199999989941716,0.03500000003259629,0.011999999987892807,100_200
200,100,0.14500000001862645,0.03999999992083758,0.029000000096857548,0.011999999987892807,100_200
200,100,0.13799999991897494,0.05700000002980232,0.03500000003259629,0.011999999987892807,100_200
200,100,0.1460000000661239,0.041000000084750354,0.03200000000651926,0.01699999999254942,100_200
200,100,0.2050000000745058,0.060999999986961484,0.04099999996833503,0.013000000035390258,100_200
200,100,0.1889999998966232,0.061000000103376806,0.04899999999906868,0.014999999897554517,100_200
100,200,0.030000000027939677,0.008000000030733645,0.005999999935738742,0.001999999978579581,200_100
100,200,0.027000000001862645,0.006999999983236194,0.005000000004656613,0.0020000000949949026,200_100
