n_p,K,num_estimated_mean,num_estimated_std
50_100,3186,3186,0
50_100,3235,3235,0
50_100,3284,3284,0
50_100,3333,3333,0
50_100,3382,3382,0
50_100,3431,3431,0
50_100,3480,3480,0
50_100,3529,3529,0
50_100,3578,3578,0
50_100,3627,3627,0
50_100,3676,3676,0
50_100,3725,3725,0
50_100,3774,3774,0
50_100,3823,3823,0
50_100,3872,3872,0
50_100,3921,3921,0
50_100,3970,3970,0
50_100,4019,4019,0
50_100,4068,4068,0
50_100,4117,4116.8,0.19999999999999998
50_100,4166,4165.4,0.39999999999999997
50_100,4215,4214.6,0.24494897427831783
50_100,4264,4263,0.6324555320336759
50_100,4313,4312,0.6324555320336759
50_100,4362,4360.8,0.7348469228349535
50_100,4411,4409.6,0.8717797887081347
50_100,4460,4457.4,1.5999999999999999
50_100,4509,4504.8,2.6153393661244038
50_100,4558,4552.6,3.4871191548325386
50_100,4607,4599.6,4.6
50_100,4656,4646.8,5.77408001330082
50_100,4705,4693.2,6.843975452907468
50_100,4754,4739.6,8.423775875461073
50_100,4803,4783.6,11.142710621747296
50_100,4852,4826,14.449913494550753
50_100,4901,4868.4,16.42741610844505
50_100,4950,4907,18.65743819499344
50_50,51,51,0
50_50,62,62,0
50_50,74,74,0
50_50,86,86,0
50_50,98,98,0
50_50,110,110,0
50_50,122,122,0
50_50,134,134,0
50_50,145,145,0
50_50,157,157,0
50_50,169,169,0
50_50,181,181,0
50_50,193,193,0
50_50,205,205,0
50_50,217,217,0
50_50,228,228,0
50_50,240,240,0
50_50,252,252,0
50_50,264,264,0
50_50,276,276,0
50_50,288,288,0
50_50,300,300,0
50_50,311,311,0
50_50,323,323,0
50_50,335,335,0
50_50,347,347,0
50_50,359,359,0
50_50,371,371,0
50_50,383,383,0
50_50,394,394,0
50_50,406,406,0
50_50,418,418,0
50_50,430,430,0
50_50,442,442,0
50_50,454,454,0
50_50,466,466,0
50_50,477,477,0
50_50,489,489,0
50_50,501,501,0
50_50,513,513,0
50_50,525,525,0
50_50,537,537,0
50_50,549,549,0
50_50,560,560,0
50_50,572,572,0
50_50,584,584,0
50_50,596,596,0
50_50,608,608,0
50_50,620,620,0
50_50,632,632,0
50_50,643,643,0
50_50,655,655,0
50_50,667,667,0
50_50,679,679,0
50_50,691,691,0
50_50,703,703,0
50_50,715,715,0
50_50,726,726,0
50_50,738,738,0
50_50,750,750,0
50_50,762,762,0
50_50,774,774,0
50_50,786,786,0
50_50,798,798,0
50_50,809,809,0
50_50,821,821,0
50_50,833,833,0
50_50,845,845,0
50_50,857,857,0
50_50,869,869,0
50_50,881,881,0
50_50,892,892,0
50_50,904,904,0
50_50,916,916,0
50_50,928,928,0
50_50,940,940,0
50_50,952,952,0
50_50,964,964,0
50_50,975,975,0
50_50,987,986.8,0.20000000000000004
50_50,999,998.8,0.20000000000000004
50_50,1011,1010.6,0.4
50_50,1023,1022.6,0.4
50_50,1035,1034.4,0.39999999999999997
50_50,1047,1046.2,0.3741657386773941
50_50,1058,1057.2,0.3741657386773941
50_50,1070,1068.6,0.4000000000000001
50_50,1082,1080.6,0.5099019513592785
50_50,1094,1092.4,0.5099019513592785
50_50,1106,1103.8,0.8602325267042625
50_50,1118,1115.6,0.9273618495495702
50_50,1130,1126.4,0.8717797887081347
50_50,1141,1136.6,0.9273618495495702
50_50,1153,1147,1.0488088481701516
50_50,1165,1157,0.8944271909999159
50_50,1177,1166.4,0.9797958971132711
50_50,1189,1175.8,0.7999999999999999
50_50,1201,1184.4,0.6782329983125268
50_50,1213,1192.2,1.5937377450509227
50_50,1225,1199,1.9235384061671343
