accuracy,recall,precision,F_measure,num_edge,n_p,n,p,model
0.8985427135678392,0.6,0.008888888888888889,0.017518248175182483,2025,400_200,400,200,glasso
0.8169849246231156,0.8,0.006557377049180328,0.013008130081300811,3660,400_200,400,200,glasso
0.8621608040201005,0.7,0.007622504537205082,0.015080789946140037,2755,400_200,400,200,glasso
0.9112060301507537,0.6,0.01015228426395939,0.01996672212978369,1773,400_200,400,200,glasso
0.9336683417085427,0.4666666666666667,0.010622154779969651,0.02077151335311573,1318,400_200,400,200,glasso
0.8195979899497488,0.8,0.0066518847006651885,0.013194062671797692,3608,400_200,400,200,glasso
0.8649246231155779,0.5333333333333333,0.005947955390334572,0.011764705882352941,2690,400_200,400,200,glasso
0.891105527638191,0.7666666666666667,0.010535959688502062,0.020786262991414374,2183,400_200,400,200,glasso
0.8989447236180904,0.7,0.010380622837370242,0.02045786653677545,2023,400_200,400,200,glasso
0.9517085427135679,0.6333333333333333,0.0196078431372549,0.038038038038038034,969,400_200,400,200,glasso
0.7624120603015075,0.8,0.0050568900126422255,0.010050251256281409,4746,400_200,400,200,glasso
0.8645226130653266,0.7666666666666667,0.008480825958702065,0.01677607585703866,2712,400_200,400,200,glasso
0.7406532663316583,0.7666666666666667,0.004442727448329148,0.008834261570962166,5177,400_200,400,200,glasso
0.9224120603015076,0.6333333333333333,0.012242268041237113,0.02402022756005057,1552,400_200,400,200,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996115288220552,0,0,NA,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996115288220552,0,0,NA,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.9996365914786968,0.03333333333333333,1,0.06451612903225806,1,200_400,200,400,glasso
0.999624060150376,0,NA,NA,0,200_400,200,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.27516290726817044,0.9666666666666667,5.01123207188526e-4,0.001001727115716753,57870,400_400,400,400,glasso
0.0937468671679198,1,4.1465673333425477e-4,8.28969728788737e-4,72349,400_400,400,400,glasso
0.2761779448621554,0.9333333333333333,4.8453804488898886e-4,9.685732570005362e-4,57787,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.2769924812030075,0.9333333333333333,4.8508367693427115e-4,9.696633882809253e-4,57722,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.5689598997493734,0.9333333333333333,8.13409638904221e-4,0.0016254027225495605,34423,400_400,400,400,glasso
0.09443609022556392,1,4.149721968628102e-4,8.296001327360213e-4,72294,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
0.00037593984962406017,1,0.00037593984962406017,7.51597143930853e-4,79800,400_400,400,400,glasso
