n_p,K,num_estimated_mean,num_estimated_std
200_400,17243,17243,0
200_400,18045,18045,0
200_400,18847,18847,0
200_400,19649,19649,0
200_400,20451,20451,0
200_400,21253,21253,0
200_400,22055,22055,0
200_400,22857,22857,0
200_400,23659,23659,0
200_400,24461,24461,0
200_400,25263,25263,0
200_400,26065,26065,0
200_400,26867,26867,0
200_400,27669,27669,0
200_400,28471,28471,0
200_400,29273,29273,0
200_400,30075,30075,0
200_400,30877,30877,0
200_400,31679,31679,0
200_400,32481,32481,0
200_400,33283,33283,0
200_400,34085,34085,0
200_400,34887,34887,0
200_400,35689,35689,0
200_400,36491,36491,0
200_400,37293,37293,0
200_400,38095,38095,0
200_400,38897,38897,0
200_400,39699,39699,0
200_400,40501,40501,0
200_400,41303,41303,0
200_400,42105,42105,0
200_400,42907,42907,0
200_400,43709,43709,0
200_400,44511,44511,0
200_400,45313,45313,0
200_400,46115,46115,0
200_400,46917,46917,0
200_400,47719,47719,0
200_400,48521,48521,0
200_400,49323,49323,0
200_400,50125,50125,0
200_400,50927,50927,0
200_400,51729,51729,0
200_400,52531,52531,0
200_400,53333,53333,0
200_400,54135,54135,0
200_400,54937,54937,0
200_400,55739,55739,0
200_400,56541,56541,0
200_400,57343,57343,0
200_400,58145,58145,0
200_400,58947,58947,0
200_400,59749,59749,0
200_400,60551,60551,0
200_400,61353,61353,0
200_400,62155,62155,0
200_400,62957,62957,0
200_400,63759,63759,0
200_400,64561,64561,0
200_400,65363,65363,0
200_400,66165,66165,0
200_400,66967,66967,0
200_400,67769,67769,0
200_400,68571,68571,0
200_400,69373,69373,0
200_400,70175,70175,0
200_400,70977,70977,0
200_400,71779,71779,0
200_400,72581,72581,0
200_400,73383,73383,0
200_400,74185,74185,0
200_400,74987,74987,0
200_400,75789,75789,0
200_400,76591,76590.8,0.19999999999999998
200_400,77393,77391.2,0.9165151389911679
200_400,78195,78186.4,3.1874754901018454
200_400,78997,78939.6,14.968633872200893
200_400,79800,79573.8,40.73131473448898
25_50,51,529.2,76.8
25_50,62,526.6,76.55951932973457
25_50,74,525.2,77.0943577702026
25_50,86,519,75.79643791102586
25_50,98,515.4,76.30766671835799
25_50,110,515.2,76.46528624153576
25_50,122,510.6,76.35024557917282
25_50,134,507.8,75.86527532409013
25_50,145,506.6,74.30248986406849
25_50,157,504,73.70278149432353
25_50,169,501.2,73.85350364065336
25_50,181,500,72.8265061636215
25_50,193,498,73.14711204141965
25_50,205,499.2,73.79932249011505
25_50,217,498.2,72.98383382640294
25_50,228,495.2,72.55232594479655
25_50,240,493.8,73.18633752279177
25_50,252,493.2,71.8
25_50,264,492.6,72.00597197455221
25_50,276,493,70.80466086353354
25_50,288,493.4,68.5759433037563
25_50,300,493.8,66.6051049094587
25_50,311,494.6,65.87913174898405
25_50,323,492.6,62.96316383410224
25_50,335,494.6,62.1350142834135
25_50,347,498.6,61.221401486735004
25_50,359,502.8,59.825914117546084
25_50,371,507.4,58.410273069041544
